Name,Weight,Value
Axe,32252,68674
Bronze coin,225790,471010
Crown,468164,944620
Diamond statue,489494,962094
Emerald belt,35384,78344
Fossil,265590,579152
Gold coin,497911,902698
Helmet,800493,1686515
Ink,823576,1688691
Jewel box,552202,1056157
Knife,323618,677562
Long sword,382846,833132
Mask,44676,99192
Necklace,169738,376418
Opal badge,610876,1253986
Perls,854190,1853562
Quiver,671123,1320297
Ruby ring,698180,1301637
Silver bracelet,446517,859835
Timepiece,909620,1677534
Uniform,904818,1910501
Venom potion,730061,1528646
Wool scarf,931932,1827477
Cross bow,952360,2068204
Yesteryear book,926023,1746556
Zinc cup,978724,2100851
